Time,Objective Value,Best Bound
0.08621391697670333,1e+100,-2294265255965.049
0.10999120899941772,59795641642.29135,-2294265255965.049
0.1564064169942867,59795641642.29135,-0.008528700098395348
0.19842054200125858,58576561753.482956,-0.008528700098395348
0.21753354198881425,58576561753.482956,0.00894070602953434
0.32616329198936,40909844827.888336,0.00894070602953434
0.37685591698391363,40909844827.888336,0.018656739965081215
0.40763824997702613,40909844827.888336,0.019526490941643715
0.5979949999891687,40849332963.37029,0.019526490941643715
0.6128259999968577,40835538505.13157,0.019526490941643715
0.7055434999929275,40830836205.727936,0.019526490941643715
0.9930814589897636,40823528625.04263,0.019526490941643715
1.1459166669810656,40822415616.977936,0.019526490941643715
1.2159212919941638,40817092939.75368,0.019526490941643715
1.5586734999960754,40817092939.75368,67637847.46682793
1.8895370419777464,40817092939.75368,118104546.88631795
2.0646039589773864,40817092939.75368,118104546.88632216
2.0646717499766964,40817092939.75368,511942265.7239686
2.0647104590025265,40817092939.75368,744786242.5839218
2.0647401250025723,40817092939.75368,1138433351.205687
2.0937988749938086,40817092939.75368,12390436969.945984
2.0940087089838926,40817092939.75368,12390603398.730286
2.1387160839803983,40817092939.75368,12390785911.64331
2.138989541999763,40817092939.75368,12390952340.42746
2.459847499994794,40817092939.75368,19025930276.883553
2.4615376250003465,40816509017.61505,19025930276.883553
2.4643417919869535,40816425116.0604,19025930276.883553
2.4658522919926327,40815873042.37937,19026096705.667824
2.4811537499772385,40815873042.37937,19026245365.13049
2.481389874999877,40815873042.37937,19026279218.58088
2.6979489589866716,40815696342.631325,19026279218.58088
2.6997945419861935,40815687702.314674,19026279218.58088
2.7015271249983925,40815675925.26893,19026279218.58088
2.974159958976088,40815667284.952034,19026279218.58088
4.197240541980136,40815490585.20423,19026279218.58088
4.198845499980962,40815476567.68981,19026279218.58088
4.379544875002466,40815106273.703255,19026279218.58088
4.626568124978803,40814628873.15217,19026279218.58088
5.228068541997345,40814620232.83523,19026279218.58088
6.054456291982206,40814539939.099144,19026279218.58088
6.857791083981283,40814296040.98049,19026279218.58088
15.866361041989876,40814296040.98049,19026280642.837944
15.867293291987153,40814296040.98049,19026445647.36503
15.86812208397896,40814296040.98049,19026446903.16143
15.868667916976847,40814296040.98049,19026594306.827816
15.868808458995773,40814296040.98049,19026595562.622612
15.869122749980306,40814296040.98049,19026699498.221474
17.16046054198523,40814296040.98049,40809579955.771904
17.280497833999107,40814296040.98049,40809597524.032524
17.77706079199561,40814296040.98049,40809740528.93758
18.049073292000685,40814233034.06142,40809740528.93758
18.050038541987306,40814123168.44199,40809740528.93758
18.145001041993964,40814098071.48656,40809740528.93758
19.849118999991333,40814003003.02466,40809740528.93758
22.250500583992107,40813924968.012314,40809740528.93758
22.94966308400035,40813867523.176674,40809740528.93758
29.223897833988303,40813832341.07839,40809740528.93758
29.226451791997533,40813725573.150314,40809740528.93758
