Unit,distance_km
Huyện Bình Chánh,11.26057717637711
Huyện Cần Giờ,17.077761931729565
Huyện Củ Chi,16.3800193397413
Huyện Hóc Môn,5.14649569486711
Huyện Nhà Bè,6.107265120064464
Quận 10,1.6473598479714575
Quận 11,1.18122609664124
Quận 12,4.296263740457634
Quận 3,1.453545852026466
Quận 4,1.2856969333480126
Quận 5,2.0507304100401162
Quận 6,2.535355868901097
Quận 7,2.763132065843411
Quận 8,6.380597324457217
Quận Bình Thạnh,1.4974691923272605
Quận Bình Tân,5.166196721234844
Quận Gò Vấp,4.124910049001816
Quận Phú Nhuận,1.3288371000817683
Quận Tân Bình,3.511258044436388
Quận Tân Phú,3.0415335188078654
Quận một,3.2178818018464814
TP Thủ Đức,10.38309403763106
