Unit,Type,Value,Column,Row,x coordinate,y coordinate
Quận 3,x2 value,6.0,5,7,10.7860049,106.6667204
Quận 3,x2 value,6.0,6,7,10.7857855,106.6673794
Quận 3,x2 value,6.0,13,7,10.7863377,106.6756545
Quận 3,x2 value,6.0,14,7,10.7884668,106.6761484
Quận 3,x2 value,6.0,15,7,10.7805796,106.6789248
Quận 3,x2 value,6.0,20,7,10.7867669,106.6808522
Quận 3,x2 value,6.0,22,7,10.7680842,106.6749349
Quận 3,x2 value,3.0,24,7,10.782821,106.6812322
Quận 3,x2 value,6.0,27,7,10.7842743,106.6700969
Quận 3,x2 value,6.0,29,7,10.787959,106.67811
